epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,156.37,2.76908,2.05226,2.68081,0,0,0,0,4.20381,4.5134,4.15298,0.0010195,0.0010195,0.0010195
51,158.625,1.78094,1.96213,2.99057,0,0,0,0,4.20381,4.5134,4.15298,0.00101,0.00101,0.00101
52,161.6,2.80229,2.10004,2.35903,0,0,0,0,4.15646,4.55337,4.12113,0.0009902,0.0009902,0.0009902
53,164.046,2.33825,2.02092,2.83642,0,0,0,0,4.15646,4.55337,4.12113,0.0009704,0.0009704,0.0009704
54,166.999,2.00829,1.71895,2.235,0,0,0,0,4.144,4.58243,4.11708,0.0009506,0.0009506,0.0009506
55,169.277,2.15383,1.77118,2.5679,0,0,0,0,4.144,4.58243,4.11708,0.0009308,0.0009308,0.0009308
56,172.124,1.63817,1.83384,2.52401,0,0,0,0,4.17268,4.61612,4.13865,0.000911,0.000911,0.000911
57,174.331,2.13892,1.98165,2.15799,0,0,0,0,4.17268,4.61612,4.13865,0.0008912,0.0008912,0.0008912
58,177.3,2.48533,1.89978,2.78864,0,0,0,0,4.20549,4.6294,4.16445,0.0008714,0.0008714,0.0008714
59,179.485,2.29714,3.04882,3.26934,0,0,0,0,4.20549,4.6294,4.16445,0.0008516,0.0008516,0.0008516
60,182.437,0.87285,2.87595,1.06512,0,0,0,0,4.18698,4.58904,4.11497,0.0008318,0.0008318,0.0008318
61,184.68,1.91552,1.67061,2.0472,0,0,0,0,4.18698,4.58904,4.11497,0.000812,0.000812,0.000812
62,187.689,2.13286,2.00803,3.14711,0,0,0,0,4.111,4.45294,4.00386,0.0007922,0.0007922,0.0007922
63,189.967,1.81609,1.60098,2.17924,0,0,0,0,4.111,4.45294,4.00386,0.0007724,0.0007724,0.0007724
64,192.921,1.67577,1.52763,1.96701,0.00233,0.5,0.00205,0.00044,3.82455,4.19481,3.76786,0.0007526,0.0007526,0.0007526
65,195.202,1.58915,1.76998,1.95092,0.00233,0.5,0.00205,0.00044,3.82455,4.19481,3.76786,0.0007328,0.0007328,0.0007328
